,soggetto,Conceptual span tot,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,,,
150,5b06,19,2,3,0,1,2,1,2,2,3,3,,,
151,5b07,12,3,2,2,1,1,0,0,1,1,1,,,
152,5b08,18,1,2,1,2,3,0,1,3,3,2,,,
153,5b09,15,2,1,2,0,3,1,1,3,1,1,,,
154,5b10,16,2,2,1,1,2,0,2,2,2,2,,,
155,5b11,16,3,3,1,1,1,0,2,1,1,3,,,
156,5b12,19,3,2,3,1,2,1,2,1,2,2,,,
157,5b13,16,1,1,1,2,3,2,1,1,2,2,,,
158,5b14,15,2,2,1,2,1,1,2,1,1,2,,,
159,5b15,14,1,1,2,1,1,2,1,2,1,2,,,
160,5b16,24,2,3,3,2,3,1,2,2,3,3,,,
161,5b17,18,2,2,2,2,3,2,1,2,1,1,,,
162,5b18,17,3,2,2,1,1,2,2,1,2,1,,,
163,5b19,17,1,1,2,2,1,2,2,2,2,2,,,
164,5b20,17,2,1,1,2,3,2,0,3,1,2,,,
165,5b21,18,3,3,2,0,2,2,2,1,1,2,,,
166,5b22,8,1,1,0,1,1,0,0,2,1,1,,,
167,5b23,17,3,3,1,0,1,0,2,3,2,2,,,
168,5b24,21,3,3,1,2,2,1,3,2,1,3,,,
169,5b25,18,3,1,2,1,3,0,2,2,3,1,,,
170,5b26,10,2,1,1,1,0,1,0,2,1,1,,,
171,5b27,10,3,1,2,0,0,1,1,1,1,0,,,
172,5b28,16,3,1,1,0,2,2,1,2,2,2,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
